latitude,longitude
45.6343767,-122.5315333
45.6344717,-122.5314233
45.6343317,-122.5315483
45.6343433,-122.53152
45.6343433,-122.53152
45.6343667,-122.5315383
45.6343633,-122.53154
45.6343533,-122.5315233
45.6343683,-122.5315133
45.6343883,-122.5315033
45.634345,-122.5315483
45.6344117,-122.531495
45.6343433,-122.5315133
45.63449,-122.5314633
45.6343417,-122.531515
45.6343467,-122.5315467
45.6343517,-122.531515
45.63434,-122.5315333
45.634345,-122.5315233
45.6343667,-122.5315183
45.634425,-122.5314683
45.6343717,-122.5314917
45.6343533,-122.5315117
45.6343767,-122.5315067
45.634325,-122.53154
45.6344667,-122.531445
45.6343933,-122.5314817
45.6343483,-122.53153
45.6344033,-122.5314783
45.63437,-122.5314633
45.6345067,-122.5314717
45.6343417,-122.5315383
45.6344583,-122.5314867
45.63434,-122.5315233
45.63432,-122.5315683
45.63433,-122.5315667
45.6343717,-122.5315517
45.634405,-122.5314517
45.6343483,-122.5315
45.63433,-122.5315433
45.6343517,-122.5315317
45.6343383,-122.5315417
45.634345,-122.5315367
45.6344183,-122.5314883
45.63433,-122.5315433
45.6343983,-122.5314917
45.6344583,-122.5314633
45.6343717,-122.5315233
45.6344117,-122.531505
45.634345,-122.53153
45.6343517,-122.5315367
45.63433,-122.5315533
45.6344433,-122.53147
45.63442,-122.5314767
45.6344467,-122.5314883
45.6338667,-122.5319017
